Time(min),Cp(ug/mL),Ce_original(ug/mL),Ce_discrete(ug/mL),Ce_exponential(ug/mL),Ce_hybrid(ug/mL),Ce_V2_Original(ug/mL)
0,0.000,0.000,0.000,0.000,0.000,0.000
1,1.546,0.053,0.053,0.000,0.053,0.142
2,0.960,0.135,0.135,0.105,0.135,0.215
3,0.687,0.182,0.182,0.163,0.181,0.255
4,0.561,0.212,0.212,0.199,0.212,0.280
5,0.504,0.234,0.234,0.224,0.233,0.297
6,0.479,0.252,0.252,0.243,0.251,0.310
7,0.469,0.267,0.267,0.259,0.266,0.321
8,0.467,0.281,0.281,0.273,0.280,0.331
9,0.467,0.293,0.293,0.286,0.293,0.340
10,0.469,0.305,0.305,0.299,0.305,0.349
11,0.472,0.317,0.317,0.310,0.316,0.357
12,0.474,0.327,0.327,0.321,0.327,0.365
13,0.477,0.337,0.337,0.332,0.337,0.373
14,0.480,0.347,0.347,0.342,0.346,0.380
15,0.483,0.356,0.356,0.351,0.356,0.387
16,0.486,0.365,0.365,0.360,0.364,0.393
17,0.489,0.373,0.373,0.369,0.373,0.400
18,0.491,0.381,0.381,0.377,0.381,0.406
19,0.494,0.389,0.389,0.385,0.388,0.412
20,0.496,0.396,0.396,0.392,0.396,0.417
21,0.499,0.403,0.403,0.399,0.403,0.423
22,0.501,0.410,0.410,0.406,0.409,0.428
23,0.503,0.416,0.416,0.412,0.415,0.433
24,0.506,0.422,0.422,0.419,0.422,0.438
25,0.508,0.428,0.428,0.424,0.427,0.443
26,0.510,0.433,0.433,0.430,0.433,0.447
27,0.512,0.439,0.439,0.436,0.438,0.452
28,0.514,0.444,0.444,0.441,0.443,0.456
29,0.517,0.449,0.449,0.446,0.448,0.460
30,0.519,0.453,0.453,0.451,0.453,0.464
31,0.450,0.456,0.456,0.455,0.455,0.465
32,0.416,0.454,0.454,0.455,0.454,0.463
33,0.398,0.451,0.451,0.452,0.450,0.459
34,0.387,0.447,0.447,0.449,0.446,0.454
35,0.381,0.442,0.442,0.444,0.442,0.449
36,0.376,0.438,0.438,0.440,0.438,0.444
37,0.372,0.434,0.434,0.436,0.433,0.440
38,0.369,0.429,0.429,0.431,0.429,0.435
39,0.366,0.425,0.425,0.427,0.425,0.430
40,0.363,0.421,0.421,0.423,0.421,0.426
41,0.360,0.417,0.417,0.419,0.417,0.421
42,0.358,0.413,0.413,0.415,0.413,0.417
43,0.356,0.409,0.409,0.411,0.409,0.413
44,0.354,0.405,0.405,0.407,0.405,0.409
45,0.352,0.402,0.402,0.404,0.402,0.405
46,0.350,0.398,0.398,0.400,0.398,0.402
47,0.348,0.395,0.395,0.397,0.395,0.398
48,0.347,0.392,0.392,0.393,0.392,0.395
49,0.345,0.389,0.389,0.390,0.389,0.391
50,0.344,0.386,0.386,0.387,0.386,0.388
51,0.342,0.383,0.383,0.384,0.383,0.385
52,0.341,0.380,0.380,0.381,0.380,0.382
53,0.340,0.377,0.377,0.379,0.377,0.379
54,0.339,0.375,0.375,0.376,0.375,0.377
55,0.338,0.372,0.372,0.373,0.372,0.374
56,0.337,0.370,0.370,0.371,0.370,0.371
57,0.336,0.367,0.367,0.369,0.367,0.369
58,0.335,0.365,0.365,0.366,0.365,0.367
59,0.334,0.363,0.363,0.364,0.363,0.365
60,0.333,0.361,0.361,0.362,0.361,0.362
61,0.333,0.359,0.359,0.360,0.359,0.360
62,0.332,0.357,0.357,0.358,0.357,0.359
63,0.331,0.356,0.356,0.357,0.356,0.357
64,0.331,0.354,0.354,0.355,0.354,0.355
65,0.330,0.352,0.352,0.353,0.352,0.353
66,0.330,0.351,0.351,0.352,0.351,0.352
67,0.329,0.349,0.349,0.350,0.349,0.350
68,0.329,0.348,0.348,0.349,0.348,0.349
69,0.329,0.347,0.347,0.347,0.347,0.347
70,0.328,0.345,0.345,0.346,0.346,0.346
71,0.328,0.344,0.344,0.345,0.344,0.345
72,0.328,0.343,0.343,0.344,0.343,0.344
73,0.327,0.342,0.342,0.343,0.342,0.343
74,0.327,0.341,0.341,0.342,0.341,0.342
75,0.327,0.340,0.340,0.341,0.340,0.341
76,0.327,0.339,0.339,0.340,0.339,0.340
77,0.326,0.338,0.338,0.339,0.338,0.339
78,0.326,0.337,0.337,0.338,0.338,0.338
79,0.326,0.337,0.337,0.337,0.337,0.337
80,0.326,0.336,0.336,0.336,0.336,0.336
81,0.326,0.335,0.335,0.336,0.335,0.336
82,0.326,0.335,0.335,0.335,0.335,0.335
83,0.326,0.334,0.334,0.334,0.334,0.334
84,0.326,0.333,0.333,0.334,0.334,0.334
85,0.325,0.333,0.333,0.333,0.333,0.333
86,0.325,0.332,0.332,0.333,0.332,0.333
87,0.325,0.332,0.332,0.332,0.332,0.332
88,0.325,0.331,0.331,0.332,0.332,0.332
89,0.325,0.331,0.331,0.331,0.331,0.331
90,0.325,0.331,0.331,0.331,0.331,0.331
91,0.325,0.330,0.330,0.331,0.330,0.330
92,0.325,0.330,0.330,0.330,0.330,0.330
93,0.325,0.330,0.330,0.330,0.330,0.330
94,0.325,0.329,0.329,0.330,0.329,0.329
95,0.325,0.329,0.329,0.329,0.329,0.329
96,0.325,0.329,0.329,0.329,0.329,0.329
97,0.325,0.329,0.329,0.329,0.329,0.329
98,0.325,0.328,0.328,0.329,0.328,0.328
99,0.325,0.328,0.328,0.328,0.328,0.328
100,0.326,0.328,0.328,0.328,0.328,0.328
101,0.326,0.328,0.328,0.328,0.328,0.328
102,0.326,0.328,0.328,0.328,0.328,0.328
103,0.326,0.328,0.328,0.328,0.328,0.328
104,0.326,0.327,0.327,0.327,0.327,0.327
105,0.326,0.327,0.327,0.327,0.327,0.327
106,0.326,0.327,0.327,0.327,0.327,0.327
107,0.326,0.327,0.327,0.327,0.327,0.327
108,0.326,0.327,0.327,0.327,0.327,0.327
109,0.326,0.327,0.327,0.327,0.327,0.327
110,0.326,0.327,0.327,0.327,0.327,0.327
111,0.326,0.327,0.327,0.327,0.327,0.327
112,0.326,0.327,0.327,0.327,0.327,0.327
113,0.326,0.327,0.327,0.327,0.327,0.327
114,0.327,0.327,0.327,0.327,0.327,0.327
115,0.327,0.327,0.327,0.327,0.327,0.327
116,0.327,0.327,0.327,0.327,0.327,0.327
117,0.327,0.327,0.327,0.327,0.327,0.327
118,0.327,0.327,0.327,0.327,0.327,0.327
119,0.327,0.327,0.327,0.327,0.327,0.327
120,0.327,0.327,0.327,0.327,0.327,0.327
121,0.257,0.324,0.324,0.327,0.324,0.324
122,0.221,0.319,0.319,0.322,0.319,0.318
123,0.201,0.311,0.311,0.315,0.311,0.311
124,0.188,0.303,0.303,0.307,0.303,0.303
125,0.180,0.295,0.295,0.299,0.295,0.295
126,0.174,0.287,0.287,0.291,0.287,0.287
127,0.168,0.279,0.279,0.283,0.279,0.279
128,0.163,0.271,0.271,0.275,0.271,0.271
129,0.159,0.264,0.264,0.268,0.264,0.264
130,0.154,0.256,0.256,0.260,0.257,0.256
131,0.150,0.249,0.249,0.253,0.250,0.249
132,0.146,0.242,0.242,0.246,0.243,0.242
133,0.143,0.236,0.236,0.239,0.236,0.236
134,0.139,0.229,0.229,0.233,0.230,0.229
135,0.136,0.223,0.223,0.226,0.223,0.223
136,0.133,0.217,0.217,0.220,0.217,0.217
137,0.129,0.211,0.211,0.214,0.211,0.211
138,0.127,0.205,0.205,0.208,0.206,0.205
139,0.124,0.200,0.200,0.203,0.200,0.200
140,0.121,0.195,0.195,0.197,0.195,0.195
141,0.118,0.189,0.189,0.192,0.190,0.190
142,0.116,0.185,0.185,0.187,0.185,0.185
143,0.113,0.180,0.180,0.182,0.180,0.180
144,0.111,0.175,0.175,0.178,0.175,0.175
145,0.109,0.171,0.171,0.173,0.171,0.171
146,0.106,0.166,0.166,0.169,0.167,0.166
147,0.104,0.162,0.162,0.164,0.162,0.162
148,0.102,0.158,0.158,0.160,0.158,0.158
149,0.100,0.154,0.154,0.156,0.154,0.154
150,0.098,0.151,0.151,0.153,0.151,0.151
151,0.097,0.147,0.147,0.149,0.147,0.147
152,0.095,0.143,0.143,0.145,0.144,0.144
153,0.093,0.140,0.140,0.142,0.140,0.140
154,0.092,0.137,0.137,0.139,0.137,0.137
155,0.090,0.134,0.134,0.135,0.134,0.134
156,0.088,0.131,0.131,0.132,0.131,0.131
157,0.087,0.128,0.128,0.129,0.128,0.128
158,0.086,0.125,0.125,0.126,0.125,0.125
159,0.084,0.122,0.122,0.124,0.122,0.122
160,0.083,0.119,0.119,0.121,0.120,0.120
161,0.081,0.117,0.117,0.118,0.117,0.117
162,0.080,0.114,0.114,0.116,0.115,0.115
163,0.079,0.112,0.112,0.113,0.112,0.112
164,0.078,0.110,0.110,0.111,0.110,0.110
165,0.077,0.108,0.108,0.109,0.108,0.108
166,0.075,0.105,0.105,0.107,0.106,0.106
167,0.074,0.103,0.103,0.104,0.103,0.103
168,0.073,0.101,0.101,0.102,0.101,0.101
169,0.072,0.099,0.099,0.100,0.099,0.099
170,0.071,0.097,0.097,0.099,0.098,0.098
171,0.070,0.096,0.096,0.097,0.096,0.096
172,0.069,0.094,0.094,0.095,0.094,0.094
173,0.068,0.092,0.092,0.093,0.092,0.092
174,0.067,0.090,0.090,0.091,0.091,0.091
175,0.066,0.089,0.089,0.090,0.089,0.089
176,0.066,0.087,0.087,0.088,0.087,0.087
177,0.065,0.086,0.086,0.087,0.086,0.086
178,0.064,0.084,0.084,0.085,0.084,0.084
179,0.063,0.083,0.083,0.084,0.083,0.083
180,0.062,0.082,0.082,0.082,0.082,0.082
181,0.062,0.080,0.080,0.081,0.080,0.080
182,0.061,0.079,0.079,0.080,0.079,0.079
183,0.060,0.078,0.078,0.078,0.078,0.078
184,0.059,0.076,0.076,0.077,0.076,0.076
185,0.059,0.075,0.075,0.076,0.075,0.075
186,0.058,0.074,0.074,0.075,0.074,0.074
187,0.057,0.073,0.073,0.074,0.073,0.073
188,0.056,0.072,0.072,0.072,0.072,0.072
189,0.056,0.071,0.071,0.071,0.071,0.071
190,0.055,0.070,0.070,0.070,0.070,0.070
191,0.054,0.069,0.069,0.069,0.069,0.069
192,0.054,0.068,0.068,0.068,0.068,0.068
193,0.053,0.067,0.067,0.067,0.067,0.067
194,0.053,0.066,0.066,0.066,0.066,0.066
195,0.052,0.065,0.065,0.065,0.065,0.065
196,0.051,0.064,0.064,0.064,0.064,0.064
197,0.051,0.063,0.063,0.064,0.063,0.063
198,0.050,0.062,0.062,0.063,0.062,0.062
199,0.050,0.061,0.061,0.062,0.061,0.061
200,0.049,0.061,0.061,0.061,0.061,0.061
