Time(min),Bolus(mg),Continuous(mg/kg/hr),Cp(ug/mL),Ce(ug/mL)
0,10.0,0.00,2.693,0.000
1,0.0,0.00,1.307,0.002
2,0.0,1.50,1.006,0.004
3,0.0,0.00,0.880,0.005
4,0.0,0.00,0.832,0.006
5,0.0,0.00,0.820,0.007
6,0.0,0.00,0.823,0.007
7,0.0,0.00,0.833,0.008
8,0.0,0.00,0.846,0.009
9,0.0,0.00,0.860,0.010
10,0.0,0.00,0.874,0.011
11,0.0,0.00,0.887,0.012
12,0.0,0.00,0.900,0.013
13,0.0,0.00,0.913,0.014
14,0.0,0.00,0.925,0.016
15,0.0,0.00,0.937,0.017
16,0.0,0.00,0.948,0.018
17,0.0,0.00,0.959,0.019
18,0.0,0.00,0.969,0.020
19,0.0,0.00,0.979,0.021
20,0.0,0.00,0.989,0.022
21,0.0,0.00,0.998,0.023
22,0.0,0.00,1.007,0.024
23,0.0,0.00,1.015,0.025
24,0.0,0.00,1.023,0.027
25,0.0,0.00,1.031,0.028
26,0.0,0.00,1.039,0.029
27,0.0,0.00,1.046,0.030
28,0.0,0.00,1.054,0.031
29,0.0,0.00,1.061,0.032
30,0.0,0.00,1.067,0.034
31,0.0,0.00,1.074,0.035
32,0.0,0.00,1.080,0.036
33,0.0,0.00,1.086,0.037
34,0.0,0.00,1.092,0.039
35,0.0,0.00,1.098,0.040
36,0.0,0.00,1.103,0.041
37,0.0,0.00,1.108,0.042
38,0.0,0.00,1.114,0.043
39,0.0,0.00,1.119,0.045
40,0.0,0.00,1.124,0.046
41,0.0,0.00,1.128,0.047
42,0.0,0.00,1.133,0.048
43,0.0,0.00,1.138,0.050
44,0.0,0.00,1.142,0.051
45,5.0,1.50,2.493,0.052
46,0.0,0.00,1.804,0.055
47,0.0,0.00,1.491,0.056
48,0.0,0.00,1.348,0.058
49,0.0,0.00,1.284,0.060
50,0.0,0.00,1.255,0.061
51,0.0,0.00,1.242,0.062
52,0.0,0.00,1.237,0.064
53,0.0,0.00,1.235,0.065
54,0.0,0.00,1.235,0.066
55,0.0,0.00,1.235,0.068
56,0.0,0.00,1.236,0.069
57,0.0,0.00,1.237,0.070
58,0.0,0.00,1.238,0.072
59,0.0,0.00,1.240,0.073
60,0.0,0.00,1.241,0.075
61,0.0,0.00,1.242,0.076
62,0.0,0.00,1.243,0.077
63,0.0,0.00,1.245,0.079
64,0.0,0.00,1.246,0.080
65,0.0,0.00,1.248,0.081
66,0.0,0.00,1.249,0.083
67,0.0,0.00,1.250,0.084
68,0.0,0.00,1.252,0.085
69,0.0,0.00,1.253,0.087
70,0.0,0.00,1.255,0.088
71,0.0,0.00,1.256,0.089
72,0.0,0.00,1.258,0.091
73,0.0,0.00,1.259,0.092
74,0.0,0.00,1.261,0.093
75,0.0,0.00,1.262,0.095
76,0.0,0.00,1.264,0.096
77,0.0,0.00,1.265,0.098
78,0.0,0.00,1.267,0.099
79,0.0,0.00,1.268,0.100
80,0.0,0.00,1.270,0.102
81,0.0,0.00,1.271,0.103
82,0.0,0.00,1.273,0.104
83,0.0,0.00,1.275,0.106
84,0.0,0.00,1.276,0.107
85,0.0,0.00,1.278,0.108
86,0.0,0.00,1.279,0.110
87,0.0,0.00,1.281,0.111
88,0.0,0.00,1.282,0.112
89,0.0,0.00,1.284,0.114
90,0.0,0.00,0.951,0.115
91,0.0,0.00,0.786,0.116
92,0.0,0.00,0.699,0.117
93,0.0,0.00,0.648,0.117
94,0.0,0.00,0.613,0.118
95,0.0,0.00,0.586,0.118
96,0.0,0.00,0.564,0.119
97,0.0,0.00,0.544,0.119
98,0.0,0.00,0.526,0.120
99,0.0,0.00,0.509,0.120
100,0.0,0.00,0.493,0.121
101,0.0,0.00,0.478,0.121
102,0.0,0.00,0.463,0.122
103,0.0,0.00,0.449,0.122
104,0.0,0.00,0.436,0.122
105,0.0,0.00,0.423,0.123
106,0.0,0.00,0.411,0.123
107,0.0,0.00,0.399,0.123
108,0.0,0.00,0.388,0.124
109,0.0,0.00,0.378,0.124
110,0.0,0.00,0.368,0.124
111,0.0,0.00,0.358,0.125
112,0.0,0.00,0.349,0.125
113,0.0,0.00,0.340,0.125
114,0.0,0.00,0.332,0.125
115,0.0,0.00,0.324,0.126
116,0.0,0.00,0.316,0.126
117,0.0,0.00,0.308,0.126
118,0.0,0.00,0.301,0.126
119,0.0,0.00,0.295,0.126
120,0.0,0.00,0.288,0.127
121,0.0,0.00,0.282,0.127
122,0.0,0.00,0.276,0.127
123,0.0,0.00,0.270,0.127
124,0.0,0.00,0.264,0.127
125,0.0,0.00,0.259,0.127
126,0.0,0.00,0.254,0.128
127,0.0,0.00,0.249,0.128
128,0.0,0.00,0.244,0.128
129,0.0,0.00,0.239,0.128
130,0.0,0.00,0.235,0.128
131,0.0,0.00,0.230,0.128
132,0.0,0.00,0.226,0.128
133,0.0,0.00,0.222,0.129
134,0.0,0.00,0.218,0.129
135,0.0,0.00,0.214,0.129
136,0.0,0.00,0.211,0.129
137,0.0,0.00,0.207,0.129
138,0.0,0.00,0.204,0.129
139,0.0,0.00,0.201,0.129
140,0.0,0.00,0.197,0.129
141,0.0,0.00,0.194,0.129
142,0.0,0.00,0.191,0.129
143,0.0,0.00,0.188,0.129
144,0.0,0.00,0.185,0.129
145,0.0,0.00,0.183,0.130
146,0.0,0.00,0.180,0.130
147,0.0,0.00,0.177,0.130
148,0.0,0.00,0.175,0.130
149,0.0,0.00,0.172,0.130
150,0.0,0.00,0.170,0.130
151,0.0,0.00,0.167,0.130
152,0.0,0.00,0.165,0.130
153,0.0,0.00,0.163,0.130
154,0.0,0.00,0.161,0.130
155,0.0,0.00,0.158,0.130
156,0.0,0.00,0.156,0.130
157,0.0,0.00,0.154,0.130
158,0.0,0.00,0.152,0.130
159,0.0,0.00,0.150,0.130
160,0.0,0.00,0.148,0.130
161,0.0,0.00,0.147,0.130
162,0.0,0.00,0.145,0.130
163,0.0,0.00,0.143,0.130
